Designator,Footprint,Quantity,Value,LCSC Part #
A1,TPS2456ARHHR,1,TPS2456ARHHR,
"C1, C2",0805,2,47nf,
"C_{INA}1, C_{INB}1, C_{INT}1",0805,3,100n,
"C_{TA}1, C_{TB}1",0805,2,47n,
D1,D_SMB,1,SM6T12A,
"D_{InA}1, D_{InB}1",LED_Kingbright_APFA3010_3x1.5mm_Horizontal,2,APFA3010,
"J1, J2, J3, J4, J5, J6, J7, J8",MountingHole_3.5mm_Pad,8,Screw_Terminal_01x01,
J9,691323300002,1,691323300002,
"K_{A}1, K_{B}1",DMS0008A,2,CSD87313DMS,
"R1, R5, R_{MON}1",0805,3,"6,8k",
"R2, R6",0805,2,"5,1k",
"R3, R7",0805,2,330k,
"R4, R8",0805,2,68k,
"R_{G1A}1, R_{G1B}1, R_{G2A}1, R_{G2B}1",0805,4,10,
"R_{SENSEA}1, R_{SENSEB}1",0612,2,5m 1% 2W,
"R_{SETA}1, R_{SETB}1",0805,2,680 1%,
"SW1, SW2",Panasonic_EVQPUK_EVQPUB,2,SW_DIP_x01,
