Designator,Mid X,Mid Y,Rotation,Layer
A1,93.2942,-33.4014,270.0,top
C1,118.745,-35.56,270.0,top
C2,36.6268,-35.4799,270.0,top
C_{INA}1,107.188,-30.734,0.0,top
C_{INB}1,83.4136,-36.3474,180.0,top
C_{INT}1,92.837,-28.5496,180.0,top
C_{TA}1,100.6856,-33.1216,0.0,top
C_{TB}1,87.63,-31.0134,180.0,top
D1,132.3594,-33.655,90.0,bottom
D_{InA}1,115.0,-36.83,180.0,top
D_{InB}1,40.6388,-36.7499,180.0,top
J9,136.817,-28.1178,90.0,top
K_{A}1,114.539078,-33.607644,0.0,top
K_{B}1,51.022844,-33.537965,180.0,top
R1,110.49,-34.29,180.0,top
R2,110.49,-36.2712,180.0,top
R3,118.7196,-32.0802,270.0,top
R4,120.8024,-35.56,270.0,top
R5,45.0088,-36.1696,0.0,top
R6,45.0088,-34.2099,0.0,top
R7,35.6108,-32.4319,180.0,top
R8,34.5948,-35.4799,270.0,top
R_{G1A}1,104.4702,-33.7077,90.0,top
R_{G1B}1,58.7248,-33.9852,270.0,top
R_{G2A}1,106.5784,-33.7058,270.0,top
R_{G2B}1,56.6928,-33.9852,270.0,top
R_{MON}1,88.9762,-29.0068,180.0,top
R_{SENSEA}1,114.9604,-29.8196,90.0,top
R_{SENSEB}1,50.419,-29.9212,90.0,top
R_{SETA}1,97.9678,-29.7942,270.0,top
R_{SETB}1,86.9188,-35.6616,180.0,top
SW1,126.0,-35.56,180.0,top
SW2,29.6388,-35.4799,180.0,top
